Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57876868,Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,"LaRocca, Eric",,"=""1951658132""","=""""",0,Weirdpunk Books,Kindle Edition,120,2021,2021,,2023/06/18,to-read,to-read (#191),to-read,,,,0,0
120586,Solitude: A Return to the Self,Anthony Storr,"Storr, Anthony",,"=""0743280741""","=""9780743280747""",0,Free Press,Paperback,216,2005,1988,,2023/06/17,to-read,to-read (#190),to-read,,,,0,0
219601,The Tenant,Roland Topor,"Topor, Roland","Francis K. Price, Thomas Ligotti","=""193361806X""","=""9781933618067""",0,Millipede Press,Paperback,216,2006,1964,,2023/06/17,to-read,to-read (#189),to-read,,,,0,0
1007891,The Melancholy of Resistance,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""0704380099""","=""9780704380097""",0,Quartet Books,Paperback,288,2000,1989,,2023/06/16,to-read,to-read (#188),to-read,,,,0,0
221597,Salammbo,Gustave Flaubert,"Flaubert, Gustave","Mahlon Blaine, A.J. Krailsheimer, Ray Redman","=""0140443282""","=""9780140443288""",0,Penguin Classics,Paperback,288,1977,1862,,2023/04/27,to-read,to-read (#187),to-read,,,,0,0
1428604,Growth of the Soil,Knut Hamsun,"Hamsun, Knut","Sverre Lyngstad, Brad Leithauser","=""0143105108""","=""9780143105107""",0,Penguin Classics,Paperback,352,2007,1917,,2023/06/16,to-read,to-read (#186),to-read,,,,0,0
24611567,Songs of a Dead Dreamer and Grimscribe,Thomas Ligotti,"Ligotti, Thomas",Jeff Vandermeer,"=""0143107763""","=""9780143107767""",0,Penguin Books,Paperback,448,2015,2015,,2023/06/16,to-read,to-read (#185),to-read,,,,0,0
9999,The Box Man,Kōbō Abe,"Abe, Kōbō",E. Dale Saunders,"=""0375726519""","=""9780375726514""",0,Vintage,Paperback,178,2001,1973,,2023/06/13,to-read,to-read (#184),to-read,,,,0,0
39333840,Almost Zero,Natan Dubovitsky,"Dubovitsky, Natan","Nino Gojiashvili, Nastya Valentine, Vladislav Surkov","=""0991332172""","=""9780991332175""",0,Inpatient Press,Paperback,124,2017,2009,,2022/08/17,to-read,to-read (#123),to-read,,,,0,0
27253494,Woman at Point Zero,Nawal El Saadawi,"Saadawi, Nawal El",,"=""1783607432""","=""9781783607433""",0,Zed Books,Kindle Edition,158,2015,1975,,2022/12/28,to-read,to-read (#144),to-read,,,,0,0
43093502,"Finally, Some Good News",Delicious Tacos,"Tacos, Delicious",,"=""""","=""""",0,,Kindle Edition,162,2018,2018,,2023/06/11,to-read,to-read (#183),to-read,,,,0,0
43035,White Fang,Jack London,"London, Jack",K.A. Applegate,"=""""","=""""",0,Scholastic Paperbacks,Paperback,252,2001,1906,,2023/06/11,to-read,to-read (#182),to-read,,,,0,0
52267741,Piaget’s Last Fear,Vladimir  Jankovic,"Jankovic, Vladimir",,"=""""","=""""",0,,Kindle Edition,236,2019,2018,,2023/06/03,to-read,to-read (#181),to-read,,,,0,0
7994502,The Parasites,Daphne du Maurier,"Maurier, Daphne du",,"=""""","=""""",0,Penguin,Paperback,318,1966,1949,,2023/06/01,to-read,to-read (#180),to-read,,,,0,0
15842784,"Bandit Algorithms for Website Optimization: Developing, Deploying, and Debugging",John Myles White,"White, John Myles",,"=""1449341330""","=""9781449341336""",3.0,O'Reilly Media,Paperback,88,2013,2012,2023/05/29,2023/05/27,,,read,,,,1,0
32616919,How to Bomb the U.S. Gov't,Sam Hyde,"Hyde, Sam","Nick Rochefort, Charls Carroll","=""""","=""""",3.0,,Paperback,744,,,2023/03/28,2022/08/17,,,read,,,,1,0
41392893,"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks",Will Kurt,"Kurt, Will",,"=""1593279566""","=""9781593279561""",3.0,No Starch Press,Paperback,256,2019,,2023/05/27,2020/09/01,,,read,,,,1,0
57402596,"Electric Wizards: A Tapestry of Heavy Music, 1968 to the Present",J.R. Moores,"Moores, J.R.",,"=""1789144485""","=""9781789144482""",0,Reaktion Books,Hardcover,480,2021,,,2023/05/24,to-read,to-read (#179),to-read,,,,0,0
15807020,The Spire,William Golding,"Golding, William",,"=""""","=""""",0,Faber and Faber,Paperback,223,1978,1964,,2022/12/27,to-read,to-read (#142),to-read,,,,0,0
510493,Muscle: Confessions of an Unlikely Bodybuilder,Samuel Wilson Fussell,"Fussell, Samuel Wilson",,"=""0380717638""","=""9780380717637""",0,William Morrow Paperbacks,Paperback,264,1992,1991,,2023/05/03,to-read,to-read (#178),to-read,,,,0,0
210257,The Damned,Joris-Karl Huysmans,"Huysmans, Joris-Karl",Terry Hale,"=""0140447679""","=""9780140447675""",0,Penguin Classics,Paperback,320,2002,1891,,2023/04/27,to-read,to-read (#177),to-read,,,,0,0
52950915,Die with Zero: Getting All You Can from Your Money and Your Life,Bill  Perkins,"Perkins, Bill",,"=""0358099765""","=""9780358099765""",3.0,Houghton Mifflin Harcourt,Hardcover,225,2020,2020,2023/04/23,2023/01/29,,,read,,,,1,0
20204721,iWoz: Computer Geek to Cult Icon,Steve Wozniak,"Wozniak, Steve",Gina Smith,"=""""","=""""",0,W. W. Norton & Company,Kindle Edition,330,2007,2006,,2023/04/10,to-read,to-read (#176),to-read,,,,0,0
411513,"4,000 Days: My Life and Survival in a Bangkok Prison",Warren Fellows,"Fellows, Warren",,"=""0312182961""","=""9780312182960""",5.0,St. Martin's Press,Hardcover,224,1998,1998,2023/04/03,2023/03/27,favourite-memoirs,favourite-memoirs (#8),read,,,,1,0
58871,Dirty Blonde: The Diaries of Courtney Love,Courtney Love,"Love, Courtney",Ava Stander,"=""0865479593""","=""9780865479593""",3.0,Faber & Faber,Hardcover,304,2006,2006,2023/03/27,2023/03/12,,,read,,,,1,0
4502660,Bonjour Tristesse / A Certain Smile,Françoise Sagan,"Sagan, Françoise",,"=""0141442301""","=""9780141442303""",0,Penguin Books Ltd,Paperback,213,2009,1956,,2023/03/24,to-read,to-read (#175),to-read,,,,0,0
24503421,The Roaring Silence: John Cage: A Life,David Revill,"Revill, David",,"=""""","=""""",0,Arcade,Kindle Edition,401,2014,1992,,2023/03/21,to-read,to-read (#174),to-read,,,,0,0
40938960,Lady Sings the Blues,Billie Holiday,"Holiday, Billie",,"=""""","=""""",5.0,,Unknown Binding,240,,1956,2023/03/21,2023/03/12,favourite-memoirs,favourite-memoirs (#7),read,,,,1,0
20325702,Björk,Björk,"Björk, Björk",,"=""""","=""""",0,Bloomsbury USA,Paperback,192,2001,2001,,2023/03/10,to-read,to-read (#171),to-read,,,,0,0
22312927,The Murderer,Georges Simenon,"Simenon, Georges",,"=""""","=""""",0,Penguin Books,Paperback,127,1935,1937,,2023/03/12,to-read,to-read (#173),to-read,,,,0,0
59241078,My Annihilation,Fuminori Nakamura,"Nakamura, Fuminori",Sam Bett,"=""1641292725""","=""9781641292726""",0,Soho Crime,Hardcover,264,2022,2016,,2023/03/12,to-read,to-read (#172),to-read,,,,0,0
17063380,Composing Ambiguity: The Early Music of Morton Feldman,Alistair Noble,"Noble, Alistair",,"=""140945164X""","=""9781409451648""",0,Routledge,Hardcover,228,2013,2013,,2023/03/07,to-read,to-read (#170),to-read,,,,0,0
305407,After the Funeral: The Posthumous Adventures of Famous Corpses,Edwin Murphy,"Murphy, Edwin",,"=""0760709246""","=""9780760709245""",0,Barnes & Noble,Hardcover,244,1998,1995,,2023/03/04,to-read,to-read (#169),to-read,,,,0,0
